Economy,Year,Overall DTF,Starting a business-DTF,Starting a Business - Procedure – Men (number),Starting a Business - Time – Men (days),Starting a Business - Cost – Men (% of income per capita),Starting a Business - Procedure – Women (number),Starting a Business - Time – Women (days),Starting a Business - Cost – Women (% of income per capita),Starting a Business - Paid-in min. capital (% of income per capita),Dealing with Construction Permits-DTF,Dealing with Construction Permits - Procedures (number),Dealing with Construction Permits - Time (days),Dealing with Construction Permits - Cost (% of warehouse value),Getting Electricity-DTF,Getting Electricity - Procedures (number),Getting Electricity - Time (days),Getting Electricity - Cost (% of income per capita),Registering Property-DTF,Registering Property - Procedures (number),Registering Property - Time (days),Registering Property - Cost (% of property value),Getting Credit-DTF,Getting Credit - Strength of legal rights index (0-10) old methodology,Getting Credit - Depth of credit information index (0-6) old methodology,Getting Credit - Credit registry coverage (% of adults),Getting Credit - Credit bureau coverage (% of adults),Protecting Minority Investors-DTF,Protecting Minority Investors - Strength of investor protection index (0-10) old methodology,Protecting Minority Investors - Extent of disclosure index (0-10),Protecting Minority Investors - Extent of director liability index (0-10),Protecting Minority Investors - Ease of shareholder suits index (0-10) old methodology,Paying Taxes-DTF,Paying Taxes - Payments (number per year),Paying Taxes - Time (hours per year),Paying Taxes - Total tax rate (% of profit),Trading Across Borders-DTF,Trading across Borders - Documents to export (number) old methodology,Trading across Borders - Time to export (days) old methodology,Trading across Borders - Cost to export (US$ per container) old methodology,Trading across Borders - Documents to import (number) old methodology,Trading across Borders - Time to import (days) old methodology,Trading across Borders - Cost to import (US$ per container) old methodology,Enforcing Contracts-DTF,Enforcing Contracts - Time (days),Enforcing Contracts - Cost (% of claim),Resolving Insolvency-DTF,Resolving Insolvency - Recovery rate (cents on the dollar),Resolving Insolvency - Cost (% of estate),USInvestment
Argentina,DB2010,56.72,72.27,14,25.5,13.7,14,25.5,13.7,9.8,47.49,21,341,0.5,72.57,6,91,45.7,62.61,6,51,7,62.5,4,6,34.3,100,50,5,7,2,6,42.52,9,453,107.3,61.66,6,13,1480,6,16,1810,65.38,590,16.5,30.24,28.1,14.5,11747
Australia,DB2010,80.8,96.46,3,2.5,0.8,3,2.5,0.8,0,84.47,10,112,0.4,80.56,5,75,15.9,77.35,5,4.5,4.9,87.5,9,5,0,100,56.67,5.7,8,2,7,82.15,11,107,47.8,80.5,5,9,1060,7,8,1119,77.47,395,20.7,84.87,78.8,8,125421
Austria,DB2010,76.36,79.67,8,25,5.1,8,25,5.1,52,70.73,11,222,1.5,87.71,5,23,110.7,79.54,3,31.5,4.5,75,7,5,1.4,39.2,50,5,5,5,5,76.39,12,170,51.6,86.93,3,10,1180,4,9,1195,80.65,397,20.4,76.95,71.5,18,11485
Belgium,DB2010,74.04,94.27,3,4,5.6,3,4,5.6,19.4,73.55,10,212,1.1,72.81,6,88,91,42.63,7,79,12.7,56.25,5,4,56.5,0,70,7,8,6,7,75.8,11,156,55.2,84.49,4,9,1240,4,9,1400,77.67,505,17.7,92.93,86.3,3.5,43975
Brazil,DB2010,53.73,55.02,14,122,6.9,14,122,6.9,0,46.65,19,430,0.8,90.61,4,43,51.2,56.87,13,25.5,2.6,50,3,5,23.7,59.2,53.33,5.3,5,8,3,42.71,10,2600,65.7,71.48,6,12,1135,8,16,1185,52.16,731,16.5,18.45,17.1,12,66963
Canada,DB2010,79.82,97.22,2,5.5,0.4,2,5.5,0.4,0,71.3,11,223,1.1,55.3,7,169,143.7,79.73,6,16.5,1.8,81.25,7,6,0,100,83.33,8.3,8,9,8,85.36,9,119,42.3,85.48,3,8,1660,3,10,1660,63.76,570,22.3,95.46,88.7,3.5,295206
Chile,DB2010,68.27,77.45,9,40,6.9,9,40,6.9,0,68.97,15,193,1,79.35,6,43,88.2,78.49,6,31,1.3,56.25,4,5,32.9,33.9,63.33,6.3,7,6,6,83.47,8,316,24.8,80.35,5,17,745,5,16,710,63.85,480,28.6,31.15,28.9,14.5,30747
China,DB2010,56.52,62.67,14,38,4.9,14,38,4.9,130.9,24.4,30,280,10.7,67.04,5,145,835.7,79.25,4,28,3.6,56.25,5,4,13.7,0,50,5,10,1,4,44.75,9,463.8,81.4,72.97,8,21,500,5,24,545,69.89,406,15.1,37.97,35.3,22,58996
Colombia,DB2010,65.7,83.67,8,18,13.1,8,18,13.1,0,75.2,10,74,8.1,64.7,5,165,702,75.23,7,24,2,62.5,5,5,0,60.5,80,8,9,7,8,52.19,21,208,80.3,73.86,4,14,1870,6,14,1750,36.24,1346,47.9,53.45,49.7,6,6181
Costa Rica,DB2010,56.71,64.18,12,73.5,10.5,12,73.5,10.5,0,60.51,21,182,1.9,81.2,5,62,318,75.36,6,21,3.4,50,3,5,24.3,56,30,3,2,5,2,49.94,43,282,58.1,77.37,5,14,1160,5,14,1190,51.13,852,24.3,27.37,25.4,14.5,1827
Czech Republic,DB2010,63.19,81.03,9,17,9.2,9,17,9.2,30.5,57.18,21,247,0.2,74.56,5,116,30.5,69.77,5,79,3,68.75,6,5,4.9,73.1,50,5,2,5,8,62.61,12,442,51.1,77.52,4,18,1120,6,20,1165,68,611,33,22.48,20.9,14.5,5268
Denmark,DB2010,84.24,91.79,4,6,0,4,6,0,38.6,91.59,7,64,1.3,91.04,4,38,122,78.21,6,42,0.6,81.25,9,4,0,5.2,63.33,6.3,7,5,7,90.69,10,135,28.2,91.75,4,6,794,3,5,744,69.61,380,23.3,93.11,86.5,4,11802
Dominican Republic,DB2010,63.07,83.18,8,16,21,8,16,21,0,67.29,13,223,1.9,66.66,7,82,447.6,70.78,6,45,3.7,56.25,3,6,29.7,46.1,56.67,5.7,5,4,8,77.79,7,324,38.4,80.65,5,9,916,6,10,1150,61.87,460,40.9,9.56,8.9,38,1432
Ecuador,DB2010,57.44,61.67,13,64,35.1,13,64,35.1,5.5,76.84,15,114,0.8,63.63,7,89,938.1,76.46,7,15,2.1,50,2,6,37.2,46,40,4,1,5,6,64.77,8,600,34.8,65.35,7,20,1455,6,29,1402,58.3,588,27.2,17.36,16.1,18,1283
Finland,DB2010,80.76,93.1,3,14,0.9,3,14,0.9,7.2,80.24,16,64,0.9,85.29,5,42,29.4,83.46,3,14,4,75,8,4,0,14.7,56.67,5.7,6,4,7,76.83,8,243,47.7,88.55,4,9,590,5,8,620,74.54,375,13.3,93.94,87.3,3.5,1597
France,DB2010,69.79,92.5,5,6.5,0.9,5,6.5,0.9,0,76.94,9,183,1.6,81.05,5,71,38.3,49.21,8,113,6.1,56.25,5,4,32.5,0,53.33,5.3,8,3,5,72.83,8,132,65.8,90.01,2,10,1285,2,11,1395,77.8,390,17.4,47.92,44.5,9,78320
Germany,DB2010,79.49,80.8,9,17.5,4.9,9,17.5,4.9,40.8,87.34,8,96,1.2,98.34,3,28,50.6,66.51,6,52,5.2,81.25,7,6,0.8,98.3,50,5,5,5,5,78.96,12,196,43.9,88.32,4,8,902,4,7,937,76.74,394,14.4,86.66,80.5,8,103319
Greece,DB2010,62.44,70.9,15,19,20.2,15,19,20.2,21.4,69.96,15,198,0.1,78.32,6,51,55.2,59.78,11,24,3.9,56.25,4,5,0,46.9,33.33,3.3,1,4,5,78.34,8,224,46.7,77.04,4,20,1078,6,19,1265,52.94,960,14.4,47.53,44.2,9,1775
Honduras,DB2010,59.08,73.86,12,14,45.6,12,14,45.6,13.8,77.45,10,109,4.7,70.31,7,39,1075.2,70.44,6,22,5.5,75,6,6,21.7,58.7,30,3,0,5,4,58.23,47,224,43.5,72.59,5,19,1163,6,22,1190,40.53,900,35.2,22.39,20.8,14.5,936
Hungary,DB2010,65.39,91.35,5,5,8,5,5,8,10.2,70.37,15,192,0.2,55.03,5,252,126.8,64.7,4,16.5,11,75,7,5,0,10.3,43.33,4.3,2,4,7,64.42,14,330,56.6,74.96,6,16,1015,6,18,1055,73.36,395,15,41.35,38.4,14.5,4237
India,DB2010,48.77,50.06,15,32,66.1,15,32,66.1,210.9,17.1,42,195,52.2,69.61,7,60,506.4,59.47,7,47,7.4,81.25,8,5,0,10.2,56.67,5.7,6,4,7,37.19,59,271,66,65.85,7,17,895,10,20,1040,25.81,1420,39.6,24.69,22.9,9,24666
Indonesia,DB2010,56.84,62.98,11,62,25,11,62,25,59.7,59.2,17,191,5.4,59.49,7,101,1520,61.24,5,25,10.7,62.5,5,5,22,0,60,6,10,5,3,59.52,51,266,31.8,74.91,4,18,644,8,27,660,36.55,498,139.4,31.97,29.7,22,10558
Ireland,DB2010,82.61,92.41,4,13,0.3,4,13,0.3,0,68.51,10,119,9.5,61.49,5,205,72.9,68.7,5,36.5,6.5,87.5,9,5,0,100,86.67,8.7,10,7,9,95.28,9,76,25.6,93.16,2,8,1109,2,10,1121,79.16,515,26.9,93.18,86.6,9,158851
Israel,DB2010,71.13,88.95,5,19,4.2,5,19,4.2,0,65.88,15,209,1.9,71.11,6,102,12.7,47.07,6,144,7.3,87.5,9,5,0,89.8,80,8,7,9,8,73,33,230,28.3,87.05,4,12,665,4,12,605,54.93,890,25.3,55.77,51.8,23,9464
Italy,DB2010,66.12,85.68,7,11,18,7,11,18,9.7,68,10,227.5,3.6,78.2,4,124,214.5,75.07,5,25,4.5,50,3,5,12.2,77.5,60,6,7,4,7,59.08,14,314,67.6,81.94,3,20,1281,3,18,1231,42.38,1210,29.9,60.89,56.6,22,27137
Japan,DB2010,78.39,83.12,8,23,7.5,8,23,7.5,0,73.63,12,197,0.4,87.39,3,105,0,73,6,13,5,75,6,6,0,76.2,70,7,7,6,8,65.06,12,355,55,87.19,3,11,884,5,11,1094,69.95,360,32.2,99.61,92.5,3.5,113523
Luxembourg,DB2010,65.67,87.25,5,22,1.8,5,22,1.8,19.9,69.81,11,245,0.7,73.89,5,120,51.5,56.7,7,26.5,10.2,25,4,0,0,0,43.33,4.3,6,4,3,88.37,23,59,20,81.7,5,8,1420,4,7,1420,85.7,321,9.7,44.94,41.7,14.5,272206
Malaysia,DB2010,74.61,79.55,10,18,15.6,11,19,15.6,0,54.43,22,262,0.1,90.37,4,45,38.6,50.16,8,146,3.3,100,10,6,48.5,82,86.67,8.7,10,9,7,86.6,12,145,33.5,89.18,4,13,450,4,10,450,67.65,585,27.5,41.53,38.6,14.5,11791
Mexico,DB2010,64.71,84.45,8,9.5,19.5,8,9.5,19.5,8.9,68.11,11,152,7.1,42.05,7,302,582.5,56.79,8,75,5.4,68.75,5,6,0,77.5,56.67,5.7,8,5,4,62.18,6,516.5,51,76.7,4,13,1472,4,17,2050,62.27,415,32,69.16,64.2,18,85751
Netherlands,DB2010,75.2,86.97,6,8,5.6,6,8,5.6,49.4,65.85,14,179.5,4.4,75.44,5,110,28.7,74.53,5,5.5,6.1,68.75,6,5,0,83.5,43.33,4.3,3,4,6,84.91,9,164,38.5,87.7,4,7,925,5,6,942,74.92,514,24.4,89.56,83.2,3.5,514689
New Zealand,DB2010,88.84,99.95,1,0.5,0.4,1,0.5,0.4,0,85.92,10,93,0.6,81.09,5,69,99.9,97.02,2,1,0.1,93.75,10,5,0,100,96.67,9.7,10,9,10,87.55,8,172,33.2,84.85,4,10,868,6,9,850,79.64,216,22.4,81.93,76.1,3.5,6724
Nigeria,DB2010,42.67,74.32,8,25,73.8,8,25,73.8,0,42.02,17,116,96.6,32.36,9,214,1432.7,21.85,13,73,20.9,56.25,9,0,0,0,53.33,5.3,4,7,5,39.8,47,938,31.3,38.9,9,25,1263,13,41,1440,37.67,457,92,30.14,28,22,5058
Norway,DB2010,82.05,91.34,5,6,1.9,5,6,1.9,18.7,70.9,11,236.5,0.5,87.43,4,66,13.4,94.11,1,3,2.5,62.5,6,4,0,100,63.33,6.3,7,5,7,90.59,4,87,40.7,86.07,4,8,1055,5,7,929,78.41,280,9.9,95.81,89,1,28541
Panama,DB2010,65.39,88.49,6,12,10.1,6,12,10.1,0,72.86,17,111,1.8,86.35,5,35,17.3,70.37,8,32,2.4,68.75,5,6,0,45.9,50,5,3,4,8,42.01,52,482,43.8,92.01,3,10,529,3,9,879,54.37,686,50,28.69,26.7,25,5156
Peru,DB2010,67.63,76.15,9,40.5,16.2,9,40.5,16.2,0,65.12,16,204,1.9,79.64,5,67,521.8,82.23,4,14,3.3,81.25,7,6,23,31.8,60,6,8,5,5,73.9,9,380,38.2,73.24,5,21,860,7,24,895,57.4,428,35.7,27.38,25.4,7,7196
Philippines,DB2010,54.29,61.53,18,42,21.6,18,42,21.6,5.5,58.91,28,97,2.2,87.63,4,42,811.7,62.73,9,35,4.3,37.5,4,2,0,6.1,43.33,4.3,2,3,8,57.93,47,195,47.1,74.73,6,16,771,8,16,819,53.9,842,26,4.73,4.4,38,5399
Poland,DB2010,62.96,79.94,6,39,16.7,6,39,16.7,15.3,52.91,20,288,1.2,61.42,6,163,218.8,54.13,6,195,0.5,93.75,9,6,0,68.3,60,6,7,2,9,53.32,41,397,42.2,80.61,5,17,884,4,17,884,56.85,830,19,36.71,34.1,15,13152
Portugal,DB2010,70.27,88.5,6,5.5,6.4,6,5.5,6.4,33.5,56.68,15,308,1.7,71.64,7,59,48.2,70.79,5,12,7.4,50,3,5,81.3,16.4,60,6,6,5,7,75.69,7,328,42.3,84.67,4,16,730,4,14,899,69.95,547,13,74.75,69.4,9,2612
Saudi Arabia,DB2010,67.91,74.87,12,23,5.8,15,26,5.8,0,82.42,14,78,0.3,88.14,4,61,16.7,87.77,5,8,0,56.25,3,6,0,17.9,66.67,6.7,8,8,4,92.34,14,79,14.7,77.84,5,15,717,7,18,928,52.74,635,27.5,0,0,NA,7436
Singapore,DB2010,89.77,96.46,3,2.5,0.7,3,2.5,0.7,0,78.07,13,35,6.2,92.42,4,31,34.6,77.01,6,19,2.8,81.25,10,3,0,40.3,93.33,9.3,10,9,9,96.45,6,85.5,24.1,96.62,3,6,456,3,4,439,89.54,150,25.8,96.54,89.7,3,102778
South Africa,DB2010,67.53,80.73,6,45,5.9,6,45,5.9,0,71.84,17,139,0.8,56.88,5,214,874.8,60.48,7,23,8.7,81.25,7,6,0,54.7,80,8,8,8,8,87.3,9,196,30,57.08,7,25,1531,7,35,1807,65.1,600,33.2,34.69,32.2,18,6017
Spain,DB2010,68.18,68.88,10,61,15,10,61,15,12.8,67.09,12,190,4.7,58.06,7,148,212.4,73.98,4,13,7.1,68.75,6,5,45.3,7.6,53.33,5.3,5,6,5,73.63,9,213,55.8,83.35,4,10,1271,5,10,1350,61.96,515,17.2,72.73,67.6,14.5,52390
